,Date,ClientCode,symbol,exp,strk_x,opt,bfLong,bfShort,dayBq,daySQ,SettlementP,NetQ,Token,ins,strk_y,strk1
0,23 JAN 2023,6405,NIFTY,20230223,16500.0,PE,0,1300,0,500,7.95,-1800,58336,OPTIDX,16500.00,16500.0
1,23 JAN 2023,6405,NIFTY,20230125,18300.0,CE,0,3300,38250,47150,12.1,-12200,55906,OPTIDX,18300.00,18300.0
2,23 JAN 2023,6405,NIFTY,20230125,18200.0,CE,1800,0,64850,67500,38.65,-850,55902,OPTIDX,18200.00,18200.0
3,23 JAN 2023,6405,NIFTY,20230125,18100.0,PE,0,2200,99550,89100,43.8,8250,55899,OPTIDX,18100.00,18100.0
4,23 JAN 2023,SMG002,NIFTY,20230125,18050.0,PE,0,0,150,150,28.75,0,55897,OPTIDX,18050.00,18050.0
5,23 JAN 2023,SPP007,BANKNIFTY,20230125,43000.0,PE,0,0,400,400,269.55,0,55526,OPTIDX,43000.00,43000.0
6,23 JAN 2023,SSM101,RELIANCE,20230125,2500.0,CE,250,0,0,0,2.4,250,148463,OPTSTK,2500.00,2500.0
7,23 JAN 2023,SSM101,TATAPOWER,20230125,200.0,CE,3375,0,0,0,7.4,3375,151129,OPTSTK,200.00,200.0
8,23 JAN 2023,SSM101,NIFTY,20230125,0.0, ,50,0,0,0,18148.15,50,35048,FUTIDX, ,0.0
9,23 JAN 2023,SSM101,BANKNIFTY,20230125,42500.0,CE,0,25,0,0,436.7,-25,55514,OPTIDX,42500.00,42500.0
10,23 JAN 2023,SSM171,ACC,20230223,2200.0,PE,0,0,0,250,24.7,-250,59913,OPTSTK,2200.00,2200.0
11,23 JAN 2023,SSM171,FEDERALBNK,20230223,130.0,CE,0,0,5000,0,8.55,5000,76022,OPTSTK,130.00,130.0
12,23 JAN 2023,SSM171,FEDERALBNK,20230223,145.0,CE,0,0,0,5000,1.9,-5000,76121,OPTSTK,145.00,145.0
13,23 JAN 2023,SSM171,LTIM,20230125,4400.0,CE,150,0,0,150,35.7,0,120527,OPTSTK,4400.00,4400.0
14,23 JAN 2023,SSM171,NIFTY,20230223,18300.0,PE,100,0,50,50,312.45,100,58473,OPTIDX,18300.00,18300.0
15,23 JAN 2023,SSM189,GODREJPROP,20230223,1200.0,CE,0,0,425,0,87.8,425,77867,OPTSTK,1200.00,1200.0
16,23 JAN 2023,SSM189,KOTAKBANK,20230125,1800.0,CE,400,0,0,0,8.1,400,119099,OPTSTK,1800.00,1800.0
17,23 JAN 2023,SSM189,NIFTY,20230125,18000.0,CE,0,150,150,0,165.25,0,55894,OPTIDX,18000.00,18000.0
18,23 JAN 2023,SSY333,TATAMOTORS,20230125,400.0,CE,1425,0,0,1425,10.0,0,150881,OPTSTK,400.00,400.0
19,23 JAN 2023,SSY333,NIFTY,20230223,18000.0,CE,0,0,0,50,415.75,-50,58452,OPTIDX,18000.00,18000.0
