ClientCode,EXPO_Margin,SPAN_Margin,Total_Margin,FUT_MTM,OPT_MTM,FNO_MTM,PRM_MRG,
12454,72617,425787,498404,0,0,0,0,
19013,0,0,0,0,0,0,0,
19083,64475,387837,452312,0,0,0,0,
19186,106751,639775,746526,0,0,0,0,
19289,0,-967,-4821,0,0,0,-3853,
19478,186985,1011360,1198345,0,0,0,0,
19485,77927,592600,670527,0,0,0,0,
19545,34134,213987,248122,0,0,0,0,
19615,17340,108067,125408,0,0,0,0,
19625,72617,425787,498404,0,0,0,0,
19630,990024,4736466,5726490,0,0,0,0,
19644,34134,213987,248122,0,0,0,0,
19713,19722,156100,175822,0,0,0,0,
19719,145215,931045,1076761,0,0,0,500,
19725,59738,331436,391174,0,0,0,0,
19738,30938,309685,340623,0,0,0,0,
6405,279458828,685166459,969675787,0,0,0,5050498,
A0017,1753883,9268819,11022703,0,0,0,0,
A0018,57382,273270,330652,0,0,0,0,
A0019,305004,735253,1040977,0,0,0,720,
A0020,30336995,79615399,109610577,0,0,0,-341817,
A0034,81427,529289,610716,0,0,0,0,
A0042,24995025,88840320,114198095,0,0,0,362750,
A0044,18512,-42533,-24020,0,0,0,0,
A0045,26471,160447,186919,0,0,0,0,
A0052,15797,94605,110402,0,0,0,0,
A0103,414395,2890825,3305220,0,0,0,0,
A0104,2320340,4557166,6877506,0,0,0,0,
A0108,271049,526995,861044,0,0,0,63000,
A0111,0,2040,2040,0,0,0,0,
A0119,861731,1731872,2594853,0,0,0,1250,
A0120,115712,209145,324858,0,0,0,0,
A0132,17795,47934,65729,0,0,0,0,
A0209,1257482,2704235,3961717,0,0,0,0,
A0316,110892,254030,364923,0,0,0,0,
A0340,17503,115380,132883,0,0,0,0,
A0355,91858,531687,623545,0,0,0,0,
A0374,1482173,3398099,4880273,0,0,0,0,
A0654,68269,250557,311434,0,0,0,-7392,
A0718,52943,320895,373838,0,0,0,0,
A0977,62284,256152,318437,0,0,0,0,
A1381,0,0,0,0,0,0,0,
A1528,4800567,12763541,20420684,0,0,0,2856576,
A1616,3931824,18131619,22115146,0,0,0,51702,
A1676,92241,238102,379558,0,0,0,49214,
A1716,0,0,0,0,0,0,0,
A1877,953779,1870726,2823550,0,0,0,-955,
A1910,0,-62,-124,0,0,0,-62,
A1911,0,-62,-124,0,0,0,-62,
A1946,399711,1030851,1636963,0,0,0,206401,
A1959,7056986,45609802,52498164,0,0,0,-168625,
A1977,360042,470554,825401,0,0,0,-5195,
A2142,665102,3570764,4235867,0,0,0,0,
A2158,1144182,3679717,4823899,0,0,0,0,
A2166,13162870,71655200,84818070,0,0,0,0,
A2221,1455938,5496431,7029945,0,0,0,77575,
A2268,316553,1161931,1656886,0,0,0,178401,
A2684,29956399,65914364,91464507,0,0,0,-4406256,
A2689,13594653,64514573,77875027,0,0,0,-234200,
A2794,4442737,30146330,34589068,0,0,0,0,
A2798,253985,692538,946524,0,0,0,0,
A2822,0,162257,324515,0,0,0,162257,
AHDA465,0,2827,5655,0,0,0,2827,
AHDA508,0,302,-1710,0,0,0,-2012,
AHDJ216,98612,952700,1051312,0,0,0,0,
AHDJ234,0,0,0,0,0,0,0,
AHDJ235,0,0,0,0,0,0,0,
AHDJ265,71145,650304,721449,0,0,0,0,
AHDJ331,0,80,80,0,0,0,0,
AHM0180,366375,2166870,2533246,0,0,0,0,
ARM036,0,7012,-28687,0,0,0,-35700,
AS815,0,-4466,-4466,0,0,0,0,
