ClientCode,Symbol,EXPO_Margin,SPAN_Margin,Total_Margin,FUT_MTM,OPT_MTM,FNO_MTM,PRM_MRG,
12454,ADANIENT,34134,213987,248122,0,0,0,0,
12454,ADANIPORTS,38482,211800,250282,0,0,0,0,
12454,VEDL,0,0,0,0,0,0,0,
19013,BANKNIFTY,0,0,0,0,0,0,0,
19083,BANKNIFTY,64475,387837,452312,0,0,0,0,
19186,ADANIENT,68269,427975,496244,0,0,0,0,
19186,ADANIPORTS,38482,211800,250282,0,0,0,0,
19289,BANKNIFTY,0,-967,-4821,0,0,0,-3853,
19478,AUROPHARMA,16241,89560,105801,0,0,0,0,
19478,BANKNIFTY,107459,646395,753854,0,0,0,0,
19478,ICICIBANK,44770,188375,233145,0,0,0,0,
19478,NIFTY,18512,87030,105543,0,0,0,0,
19485,ADANIPORTS,38482,211800,250282,0,0,0,0,
19485,IDEA,39445,380800,420245,0,0,0,0,
19545,ADANIENT,34134,213987,248122,0,0,0,0,
19615,MOTHERSON,17340,108067,125408,0,0,0,0,
19625,ADANIENT,34134,213987,248122,0,0,0,0,
19625,ADANIPORTS,38482,211800,250282,0,0,0,0,
19630,AXISBANK,671139,3326616,3997755,0,0,0,0,
19630,SBIN,318885,1409850,1728735,0,0,0,0,
19644,ADANIENT,34134,213987,248122,0,0,0,0,
19713,IDEA,19722,156100,175822,0,0,0,0,
19719,ADANIENT,34134,213987,248122,0,0,0,0,
19719,ADANIPORTS,38482,211800,250282,0,0,0,0,
19719,AMBUJACEM,35572,325152,360724,0,0,0,0,
19719,ESCORTS,0,0,0,0,0,0,0,
19719,HCLTECH,0,0,0,0,0,0,0,
19719,IBULHSGFIN,0,0,0,0,0,0,0,
19719,NIFTY,37025,174916,211941,0,0,0,0,
19725,BANKNIFTY,21491,129279,150770,0,0,0,0,
19725,IEX,19733,114450,134183,0,0,0,0,
19725,NIFTY,18512,87707,106220,0,0,0,0,
19738,IDEA,19722,233100,252822,0,0,0,0,
19738,IEX,0,0,0,0,0,0,0,
