ClientCode,Exchange,Token,instrument,symbol,expiry,strike,c/p,dayQty,dayValue,LTP,MTM,SerialNO,OpenQty,OpenAmt,netQty,NetValue,FUT_MTM,OPT_MTM,NET_PREM,Prem_Margin,
6405,NSEFO,39827,OPTIDX,FINNIFTY,20221129,18900.0,CE,0,0.0,383.4,0.0,0,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,39830,OPTIDX,FINNIFTY,20221129,19000.0,PE,0,0.0,19.75,0.0,1,-200,3950.0,-200,3950.0,0.0,0.0,-3950.0,0.0,
6405,NSEFO,39841,OPTIDX,FINNIFTY,20221129,19400.0,CE,0,0.0,44.7,0.0,2,-200,8940.0,-200,8940.0,0.0,0.0,-8940.0,0.0,
6405,NSEFO,50056,OPTIDX,NIFTY,20221201,18550.0,CE,0,0.0,85.15,0.0,3,-100,8515.0,-100,8515.0,0.0,0.0,-8515.0,0.0,
6405,NSEFO,50017,OPTIDX,NIFTY,20221201,18000.0,CE,0,0.0,523.25,0.0,4,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,50083,OPTIDX,NIFTY,20221201,18850.0,CE,0,0.0,10.15,0.0,5,-1000,10150.0,-1000,10150.0,0.0,0.0,-10150.0,0.0,
6405,NSEFO,50059,OPTIDX,NIFTY,20221201,18600.0,PE,0,0.0,145.35,0.0,6,-100,14535.0,-100,14535.0,0.0,0.0,-14535.0,0.0,
6405,NSEFO,86411,OPTIDX,NIFTY,20221229,18300.0,PE,0,0.0,153.45,0.0,7,-1000,153450.0,-1000,153450.0,0.0,0.0,-153450.0,0.0,
RJ06022,NSEFO,50700,OPTIDX,BANKNIFTY,20221201,44500.0,CE,0,0.0,15.3,0.0,8,25,-382.5,25,-382.5,0.0,0.0,382.5,0.0,
SKB015,NSEFO,62808,FUTIDX,BANKNIFTY,20221229,0.0, ,0,0.0,43284.25,0.0,9,25,-1082106.25,25,-1082106.25,0.0,0.0,0.0,0.0,
SSM171,NSEFO,134496,OPTSTK,ITC,20221229,370.0,CE,0,0.0,1.05,0.0,10,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
SSM171,NSEFO,143895,OPTSTK,TATACHEM,20221229,1000.0,CE,0,0.0,56.35,0.0,11,500,-28175.0,500,-28175.0,0.0,0.0,28175.0,0.0,
SSM234,NSEFO,132690,OPTSTK,IEX,20221229,140.0,CE,0,0.0,11.25,0.0,12,3750,-42187.5,3750,-42187.5,0.0,0.0,42187.5,0.0,
SSM234,NSEFO,143895,OPTSTK,TATACHEM,20221229,1000.0,CE,0,0.0,56.35,0.0,13,1000,-56350.0,1000,-56350.0,0.0,0.0,56350.0,0.0,
TG0321,NSEFO,45847,OPTIDX,NIFTY,20230629,17000.0,PE,0,0.0,253.75,0.0,14,200,-50750.0,200,-50750.0,0.0,0.0,50750.0,0.0,
VRM155,NSEFO,35772,OPTSTK,CANBK,20221229,320.0,CE,0,0.0,18.9,0.0,15,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
ZH036,NSEFO,63878,FUTSTK,BANDHANBNK,20221229,0.0, ,0,0.0,214.7,0.0,16,7200,-1545840.0,7200,-1545840.0,0.0,0.0,0.0,0.0,
6405,NSEFO,139353,OPTSTK,NMDC,20221229,110.0,CE,0,0.0,9.2,0.0,17,3350,-30819.999999999996,3350,-30819.999999999996,0.0,0.0,30819.999999999996,0.0,
6405,NSEFO,139982,OPTSTK,PAGEIND,20221229,44000.0,PE,0,0.0,889.1,0.0,18,60,-53346.0,60,-53346.0,0.0,0.0,53346.0,0.0,
6405,NSEFO,141028,OPTSTK,PNB,20221229,40.0,PE,0,0.0,0.15,0.0,19,64000,-9600.0,64000,-9600.0,0.0,0.0,9600.0,0.0,
6405,NSEFO,141038,OPTSTK,PNB,20221229,45.0,PE,0,0.0,0.55,0.0,20,176000,-96800.00000000001,176000,-96800.00000000001,0.0,0.0,96800.00000000001,0.0,
6405,NSEFO,142127,OPTSTK,RELIANCE,20221229,3000.0,CE,0,0.0,2.95,0.0,21,9000,-26550.0,9000,-26550.0,0.0,0.0,26550.0,0.0,
6405,NSEFO,142097,OPTSTK,RELIANCE,20221229,2700.0,CE,0,0.0,23.75,0.0,22,-500,11875.0,-500,11875.0,0.0,0.0,-11875.0,0.0,
6405,NSEFO,144092,OPTSTK,TATACOMM,20221229,1400.0,CE,0,0.0,12.05,0.0,23,6000,-72300.0,6000,-72300.0,0.0,0.0,72300.0,0.0,
6405,NSEFO,143905,OPTSTK,TATACHEM,20221229,1100.0,CE,0,0.0,14.35,0.0,24,-2000,28700.0,-2000,28700.0,0.0,0.0,-28700.0,0.0,
6405,NSEFO,146037,OPTSTK,TITAN,20221229,2600.0,PE,0,0.0,51.75,0.0,25,-6375,329906.25,-6375,329906.25,0.0,0.0,-329906.25,0.0,
6405,NSEFO,146056,OPTSTK,TITAN,20221229,2800.0,CE,0,0.0,16.9,0.0,26,-6000,101399.99999999999,-6000,101399.99999999999,0.0,0.0,-101399.99999999999,0.0,
6405,NSEFO,131099,OPTSTK,HINDALCO,20221229,440.0,CE,0,0.0,16.75,0.0,27,-3225,54018.75,-3225,54018.75,0.0,0.0,-54018.75,0.0,
6405,NSEFO,132690,OPTSTK,IEX,20221229,140.0,CE,0,0.0,11.25,0.0,28,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,133694,OPTSTK,INFY,20221229,1560.0,CE,0,0.0,95.25,0.0,29,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
6405,NSEFO,133702,OPTSTK,INFY,20221229,1640.0,CE,0,0.0,40.45,0.0,30,300,-12135.0,300,-12135.0,0.0,0.0,12135.0,0.0,
6405,NSEFO,134272,OPTSTK,IRCTC,20221229,740.0,CE,0,0.0,15.2,0.0,31,1750,-26600.0,1750,-26600.0,0.0,0.0,26600.0,0.0,
6405,NSEFO,135355,OPTSTK,L&TFH,20221229,92.0,CE,0,0.0,0.9,0.0,32,-17848,16063.2,-17848,16063.2,0.0,0.0,-16063.2,0.0,
A2794,NSEFO,63990,FUTSTK,HDFCBANK,20221229,0.0, ,0,0.0,1638.35,0.0,33,0,0.0,0,0.0,0.0,0.0,0.0,0.0,
A2794,NSEFO,110408,OPTSTK,BANDHANBNK,20221229,230.0,PE,0,0.0,19.2,0.0,34,25200,-483840.0,25200,-483840.0,0.0,0.0,483840.0,0.0,
A2794,NSEFO,136997,OPTSTK,MARUTI,20221229,8800.0,CE,0,0.0,380.5,0.0,35,-100,38050.0,-100,38050.0,0.0,0.0,-38050.0,0.0,
A2794,NSEFO,137001,OPTSTK,MARUTI,20221229,9000.0,CE,0,0.0,261.4,0.0,36,-100,26139.999999999996,-100,26139.999999999996,0.0,0.0,-26139.999999999996,0.0,
A2794,NSEFO,62808,FUTIDX,BANKNIFTY,20221229,0.0, ,0,0.0,43284.25,0.0,37,50,-2164212.5,50,-2164212.5,0.0,0.0,0.0,0.0,
AHM0180,NSEFO,63988,FUTSTK,HDFCAMC,20221229,0.0, ,0,0.0,2128.15,0.0,38,600,-1276890.0,600,-1276890.0,0.0,0.0,0.0,0.0,
CB118,NSEFO,39836,OPTIDX,FINNIFTY,20221129,19200.0,PE,0,0.0,67.35,0.0,39,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
HJ014,NSEFO,63858,FUTSTK,ASHOKLEY,20221229,0.0, ,0,0.0,147.15,0.0,40,20000,-2943000.0,20000,-2943000.0,0.0,0.0,0.0,0.0,
HJ014,NSEFO,131433,OPTSTK,HINDUNILVR,20221229,2540.0,CE,0,0.0,64.1,0.0,41,-1500,96149.99999999999,-1500,96149.99999999999,0.0,0.0,-96149.99999999999,0.0,
KH066,NSEFO,68822,FUTSTK,WIPRO,20221229,0.0, ,0,0.0,402.0,0.0,42,1000,-402000.0,1000,-402000.0,0.0,0.0,0.0,0.0,
